time,precip
2020-09-01,53.837917
2020-10-01,142.70717
2020-11-01,261.54913
2020-12-01,306.2441
2021-01-01,333.00473
2021-02-01,454.6799
2021-03-01,238.77005
2021-04-01,128.20682
2021-05-01,94.42151
2021-06-01,147.37561
2021-07-01,45.235405
2021-08-01,69.40976
2021-09-01,37.857037
2021-10-01,114.16191
2021-11-01,416.05472
2021-12-01,225.35643
2022-01-01,294.74268
2022-02-01,234.39207
2022-03-01,268.34412
2022-04-01,240.4731
2022-05-01,214.08917
2022-06-01,141.27943
2022-07-01,150.68793
2022-08-01,79.704
2022-09-01,74.66222
2022-10-01,176.22702
2022-11-01,375.90045
2022-12-01,208.74931
